,Iteration,Time,Fitness,Restarts,max_iters,current_restart
68,68,0.006131799999998577,5.0,50,5000,0
69,69,0.006150999999995577,5.0,50,5000,0
70,70,0.0061696999999938384,5.0,50,5000,0
71,71,0.006187799999999299,5.0,50,5000,0
72,72,0.006207099999997467,5.0,50,5000,0
73,73,0.006228399999997691,5.0,50,5000,0
74,74,0.006248100000000534,5.0,50,5000,0
75,75,0.006267199999996365,5.0,50,5000,0
76,76,0.006286400000000469,5.0,50,5000,0
77,77,0.006305699999998637,5.0,50,5000,0
78,78,0.006324999999996805,5.0,50,5000,0
79,79,0.006344099999999742,5.0,50,5000,0
80,80,0.006363600000000247,5.0,50,5000,0
81,81,0.006382899999998415,5.0,50,5000,0
82,82,0.00640239999999892,5.0,50,5000,0
83,83,0.0064261999999999375,5.0,50,5000,0
84,84,0.006447199999996656,5.0,50,5000,0
85,85,0.0064671999999958985,5.0,50,5000,0
86,86,0.0064869999999999095,5.0,50,5000,0
87,87,0.006506999999999152,5.0,50,5000,0
88,88,0.006527200000000732,5.0,50,5000,0
89,89,0.006548799999997357,5.0,50,5000,0
90,90,0.006569499999997674,5.0,50,5000,0
91,91,0.006589899999994486,5.0,50,5000,0
92,92,0.006610099999996066,5.0,50,5000,0
93,93,0.006630599999994047,5.0,50,5000,0
94,94,0.0066508999999967955,5.0,50,5000,0
95,95,0.006670999999997207,5.0,50,5000,0
96,96,0.006691199999998787,5.0,50,5000,0
97,97,0.00671119999999803,5.0,50,5000,0
98,98,0.00673169999999601,5.0,50,5000,0
99,99,0.006752799999993897,5.0,50,5000,0
100,100,0.006773899999998889,5.0,50,5000,0
101,101,0.006794299999995701,5.0,50,5000,0
102,102,0.006815099999997187,5.0,50,5000,0
103,103,0.006835699999996336,5.0,50,5000,0
104,104,0.012391999999998404,3.0,50,5000,1
105,105,0.017792899999996337,3.0,50,5000,1
106,106,0.01782069999999436,3.0,50,5000,1
107,107,0.017845099999995284,3.0,50,5000,1
108,108,0.017866999999995414,3.0,50,5000,1
109,109,0.017888299999995638,3.0,50,5000,1
110,110,0.017909499999994694,3.0,50,5000,1
111,111,0.017930099999993843,3.0,50,5000,1
112,112,0.01795059999999893,3.0,50,5000,1
113,113,0.017971400000000415,3.0,50,5000,1
114,114,0.017991699999996058,3.0,50,5000,1
115,115,0.018012399999996376,3.0,50,5000,1
116,116,0.018033199999997862,3.0,50,5000,1
117,117,0.018054499999998086,3.0,50,5000,1
118,118,0.018075299999999572,3.0,50,5000,1
119,119,0.01809639999999746,3.0,50,5000,1
120,120,0.018117499999995346,5.0,50,5000,1
121,121,0.0181445999999994,5.0,50,5000,1
122,122,0.0181666000000007,5.0,50,5000,1
123,123,0.018188499999993724,5.0,50,5000,1
124,124,0.018210399999993854,5.0,50,5000,1
125,125,0.018232299999993984,5.0,50,5000,1
126,126,0.018253500000000145,5.0,50,5000,1
127,127,0.018276099999994244,5.0,50,5000,1
128,128,0.01829839999999905,5.0,50,5000,1
129,129,0.018321199999995486,5.0,50,5000,1
130,130,0.018344299999995428,5.0,50,5000,1
