,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters,fevals
94,94,7.785195699999996,30.0,False,150,0.35000000000000003,100,True
95,95,8.502858599999996,30.0,False,150,0.35000000000000003,100,True
96,96,9.2852399,30.0,False,150,0.35000000000000003,100,True
97,97,10.060824599999997,30.0,False,150,0.35000000000000003,100,True
98,98,11.09722709999999,30.0,False,150,0.35000000000000003,100,True
99,99,11.910561899999998,30.0,False,150,0.35000000000000003,100,True
100,100,0.01606569999999863,12.0,False,150,0.4,100,True
101,101,0.824883799999995,25.0,False,150,0.4,100,True
102,102,1.7672524000000038,25.0,False,150,0.4,100,True
103,103,2.543322400000008,28.0,False,150,0.4,100,True
104,104,3.3908105999999947,28.0,False,150,0.4,100,True
105,105,4.1401797999999985,29.0,False,150,0.4,100,True
106,106,4.939409900000001,30.0,False,150,0.4,100,True
